bga_id,bga_name,bgg_id,status,note
1947,Hidden Leaders,320718,kept,
2009,High Season,398898,kept,
2213,Garden Rush,327082,kept,
2330,Cóatl,274841,kept,
2702,Bug Off,362503,kept,
1191,Whist 22,75668,kept,
2233,Twinkle Twinkle,408280,kept,
1154,Skat,6819,kept,
1675,Cat Café,279135,kept,
2191,Pyramido: Forgotten Treasures,419793,kept,
1236,Mr. Jack,21763,kept,
1778,31,19957,kept,
1917,Gosu X,368119,kept,
2399,Don't Let It Die,248072,kept,
1172,99 (trick taking game),6688,kept,
1246,Illustori,308532,kept,
1269,Nanga Parbat,300305,kept,
1349,Once Upon A Forest,151467,kept,
1587,Seikatsu,216428,kept,
1634,Ghost At Home,320275,kept,
1892,The way to Juliet,400859,kept,
1895,Biomos,362700,kept,
2123,Arctic,420214,kept,
2295,500,13123,kept,
2387,Gatsby,433908,kept,
2430,Dead Men Tell No Tales,141423,kept,
1010,Kalah,2448,kept,
1034,Dungeon Twister,12995,kept,
1530,Fruit Picking,296044,kept,
1649,Look at the Stars,365453,kept,
1794,Expeditions: Around the World,7388989,kept,
1859,That Time You Killed Me,344258,kept,
2236,Paper World,429020,kept,
2292,Jurassic Snack,241164,kept,
2376,Stem & Branch,418388,kept,
2585,Tally Up,460372,kept,
1132,Buttons,181390,kept,
1223,Off the Rails,210008,kept,
1425,Cardiceo,337503,kept,
1616,Tic-Tac Match,313822,kept,
2276,Mind MGMT,284653,kept,
2456,Time Splicers,416005,kept,
2552,Scream Park,418825,kept,
2667,Pyramis,460461,kept,
1604,Pugs in Mugs,313442,kept,
1961,Glass Road,143693,kept,
2043,Lure,415780,kept,
2157,Ekko,427063,kept,
2371,Yaxha,420061,kept,
1605,Space Station Phoenix,356414,kept,
1626,Tiny Epic Defenders (Second Edition),238656,kept,
1656,Caper: Europe,328565,kept,
1712,61 Autumn leaves,375440,kept,
1899,Bloxo,8089419,kept,
2246,Cake Master,400265,kept,
2258,Shut the Box,9851,kept,
40,K2,73761,kept,
1244,Solar Storm,274037,kept,
1307,My First Castle Panic,267314,kept,
